title,reviewer,rating,date,review,helpful,total_votes,show_title
It was worth the wait.,vkgben,8,2 September 2022,"As a Lord of the Rings fan, I was eagerly awaiting the origin stories of Middle-earth. Of course, I have high expectations after Lord of the Rings, which is close to perfection in terms of time and fiction. Because they have a considerable budget and opportunities, that's why I gave my points by watching the first episode right away. Although it is the beginning part, I can say that I liked the first part very much. The character of Galadriel could have been more strong, but she is still successful. We will warm up to the characters better over time.Characters: 8
Story: 10
Decor and venue: 10
Costume: 10
Music: 10.",653,3258,The Lord of the Rings: The Rings of Power
First Season - Disconnected Bits & Pieces With An Incomprehensible Story line,mikeh-54044,1,4 September 2022,"To be fair, like the late Christopher Lee, I re-read LOTR every year or two.The design of the sets, CGI is totally faithful to that of Peter Jackson's team. Wonderful!The ""writers"", a term I use lightly, seem to have never heard of the basic rules of storytelling. A story is about people at whose fate we develop an interest, fascination, curiosity through the efforts of the writer(s). In order to make this happen, the writer structures and paces the story with a beginning, a middle, and an end that neatly integrates and resolves the fate of the characters in an interesting manner.This ""offering, despite having spent obscene amounts of money in its production, contains zero of these storytelling elements. It seems to consist of isolated bits and pieces; entirely disconncted from one another; and no story in sight. It is boring, annoying, and makes no sense of any kind.Professor Tolkien, armed with just a pen and tablet; unable to even afford to have the manuscript typed, created an enduring classic. Perhaps the ""writers"" should buy themselves a couple of pens, a tablet, and try to summon the genius of Professor Tolkien.",2060,3097,The Lord of the Rings: The Rings of Power
Peerless Perfection - E01&E02 Review,BijeshNagesh,10,3 September 2022,"""The Lord of the Rings: The Rings of Power"" has practically become a declaration that rolls off the tongue and gathers tones of fan-crazed passion and pop-culture promise before it leaves the mouth. What Amazon Studios did with this production is nothing less than a game-changing take on what is even possible for a television show. Streaming and series will never be the same again.In its dual-episode debut, ""Rings Of Power"" created a golden benchmark for not only established adaptations but also storytelling for the small screen. Both episodes made me feel as though I was back in theatres watching Peter Jackson's trilogy come alive. While it was saddening to hear they didn't get back to the man who gave us three of the most evergreen titles that will grace the ""Lord of the Rings"" franchise, the team who worked on ""Rings of Power"" regardless served excellence that would have made Jackson smile.But I cannot continue without first stating just how proud this production would have made J. R. R. Tolkien. That was no mere man but a legend who has in recent decades inspired a slew of rich adaptations. But originally, the outstanding nature of his writing has been a constant source of inspiration for writers and novelists everywhere, especially those interested in world-building and high fantasy. No reader worth their salt will come away from a Tolkien book the same.In ""Rings of Power"", just the way they captured the life and times of disparate races - Elves, Dwarves, Humans, Orcs - and creatures galore from Tolkien's literary Second Age of Middle-Earth was a testament to the screenplay writers' sheer determination to make this series a resounding success.I loved every frame, and am now surprisingly confused about which scene I should start praising. As with most breathtaking undertakings of this kind, I shall endeavor to start at the very beginning. The creation myth Tolkien crafted in his book ""The Silmarillion"" found admirable translation in ""Rings of Power"".Episodes 1 and 2, namely ""A Shadow of the Past"" and ""Adrift"" respectively, were directed by J. A. Bayona, who brought excellence to bear on each frame. Writers J. D. Payne, Patrick McKay, and Gennifer Hutchison did superb work scripting the magnificence I saw on screen this night.Bear McCreary's musical scoring was stirring, warm, chilling, and brilliant. He captured the soul of this franchise and that's saying something after what Howard Shore did with the original trilogy, and ""The Hobbit"" movies that came after.Aaron Morton, Alex Disenhof, and Oscar Faura created enormously high standards for cinematography with their work in ""Rings of Power"" - such sweeping panoramas and intimate close-ups. The production design and editing teams deserve their weight in gold for their work in helping bring this story to life. The art direction and set decoration teams did superb work. Hair-makeup, sound effects, and stunts were outstanding. Kate Hawley's costume design was exemplary - every stitch and hem was on point.As for the CGI and VFX teams, they were the de facto hobbits from the Aragorn-crowned scene in ""Return of the King"". According to Variety, they used ""20 VFX studios, nearly 10,000 VFX shots to revive Middle-earth"". This crew certainly bows to no-one but we shall bow to them.Galadriel, played by Morfydd Clark, was outstanding - her performance redefined so much about this iconic and inspiring character. In just two episodes, Clark proved to be the Wonder Woman of the Tolkien-verse. Her acting also paid due homage to Cate Blanchett's take on the character.As for Sauron, he is a particularly significant character in the Tolkien-verse. In connection to him, we are yet to see what actor Bridie Sisson will be bringing to the series. Perhaps some sort of religious devotee or ritual summoner? Sisson lived up to that 'aura', as witnessed in the trailer. Future epis may reveal Sauron's true identity.Poppy Proudfellow, played by Megan Richards, was remarkable. Elanor ""Nori"" Brandyfoot, played by Markella Kavenagh, was great. Some 'new Frodo and Sam' vibes with those two, only Harfoots instead of Hobbits.The stranger, potentially Gandalf (!), played by Daniel Weyman, was intriguing - his performance was rife with mystery and magic. Fans know the true origins of Gandalf, and wizards like him. They are not exactly human. Future epis will reveal more, I'm sure.Celebrimbor, played by Charles Edwards, was good. Theo, played by Tyroe Muhafidin, was also good. Elrond, played by Robert Aramayo, was superb - so many subtle and skillful throwbacks to Hugo Weaving's acting in the original trilogy. Arondir, played by Ismael Cruz Cordova, was amazing. Bronwyn, played by Nazanin Boniadi, was good. Thondir, played by Fabian McCallum, was also good. Halbrand, played by Charlie Vickers, was noteworthy.Sadoc Burrows, played by Lenny Henry, was memorable. Malva, played by Thusitha Jayasundera, was quite good. Marigold Brandyfoot, played by Sara Zwangobani, was great. Rowan, played by Ian Blackburn, was notable. High King Gil-galad, played by Benjamin Walker, was quite good. Princess Disa, played by Sophia Nomvete, was superb. Prince Durin IV, played by Owain Arthur, was exceptional - his 16-piece beard transformation was itself a lesson in hair-makeup excellence.We saw what turmoil the villain at the start of this epic, namely Morgoth, brought to bear. We also saw how his tyranny and power-lust influenced and inspired the rise of his devoted servant, the sorcerer Sauron, he who was responsible for later forging the One Ring, which mastered the titular rings of power smithed by Celebrimbor.All other cast and crew did enchanting work in ""LOTR: Rings Of Power"" E01&E02 now streaming on Amazon Prime Video.As I write this review, I am dumbfounded and incredulous about the sheer magic they wrought in ""Rings of Power"". Every scene was akin to an immersive painting - languages, cultures, races, cities et al. What a relief for us fans who have been waiting with bated breath to see just this at long last. They not only set the groundwork but also built Tolkien's world atop it all in wholesome and glorious detail.I offer my sincerest gratitude to Amazon Studios for making millions of fan-dreams come true in our lifetimes with the brilliant work and hard-won excellence you forged in this intricate and time-honoured production. In the spirit of Pippin enquiring after 'third breakfast', I eagerly await the third episode with a heart heavy with satisfaction and beating with expectation. This is the stuff Tolkien-dreams are made of.",449,3044,The Lord of the Rings: The Rings of Power
"Beautiful, Beautiful, Beautiful, Beautiful, Beautiful, Beautiful, Beautiful, Beautiful!",Her-Excellency,9,2 September 2022,"What an amazing first two episodes!!! Truly, a gift! Enough cannot be said about the sets and CGI What a gorgeous feast for the eyes in every way.The STORY is ALSO EXCELLENT IF you LISTEN! (Abhorrently, that seems so infinitely difficult for some to do). TRUE, that there is a much longer than necessary scene in the first episode, but weighing it against the rest of this magnificent production, and it is hardly worth mentioning. Other than this, the series so far, is paced exactly the way one of these treasures SHOULD be paced. I mean honestly, you kind of have to wonder about people who are not able to appreciate beauty like this. Do they scarf down a great meal? Chug down good drink? Make love in 1-minute sessions? They are not only robbing themselves of great experiences, but they seem to become such downers, endlessly imbuing their disempowerment and petulenceness into everything, to the detriment of everyone.The first and second episodes of The Lord of the Rings: The Rings of Power, take you through peace to war, through centuries of peace, to the whispers of a great evil. The episodes do so with artful, creative direction; beautiful scenery, costumes and actors; solid narration; and !TOLKIEN DIALOGUE! In an unfolding tapestry of well-woven storytelling.Simply, so far, The Lord of the Rings: The Rings of Power is EXQUISITE.",542,3029,The Lord of the Rings: The Rings of Power
"Not as good as Jackson's films, but then again, what is",elljawa,7,2 September 2022,"It's inevitable that this gets compared to Jackson's LOTR films. It isn't as good. But it wasn't likely to be. Hell, even Jackson wasn't able to follow up his own work all that well.I would say, this is better than The Hobbit, even if it does lack some of the directorial flair of the film.Pilots are always hard and usually pretty bad and by that metric,. This is a far better pilot than manh others. Far too much time was spent on a somewhat clumsy prologue, but once it got going it's pretty goodIt's more visually appealing than it looked in the trailer. It seems maybe the saturation was closed in the trailer, the show itself doesn't look nearly so digital or artificial. I'm enjoying the lighting and cinematography for the most part. There is one shot of CGI blood splatter on a camera lens that is pretty jarring but not a huge dealThe writing is pretty standard for fantasy. The characters could be stronger. It gets the job doneLooking forward to the rest of this. Time will tell if this pays off for Amazon. I hope it does.",768,2978,The Lord of the Rings: The Rings of Power
This is the first review of The Rings Of Power,Metal_Robots,8,2 September 2022,"It is excellent! I love all the CGI and Harfoots, and all the diverse characters, and the special effects. And I love the music, and the lighting, and the camera work is amazing. It's better than Peter Jackson's LOTR. The effects are better and the modern empowerment of the new diverse cast really brings Tolkien's old-fashioned view of a fictitious world up to date and parallel with reality.It was also great to see Lenny Henry on the telly again, I haven't seen him on my screen since the '80s when had his own show: The Lenny Henry Show (1984), featuring the misadventures of pirate radio DJ Delbert Wilkins and his sidekick Winston.I'm really looking forward to see where they go with the new direction of this more inclusive and diverse view of Tolkien's world, and to see how they fix all the problems that existed with the books.",554,2882,The Lord of the Rings: The Rings of Power
Ignore the whining babies and enjoy the show!,Doctor_Saaaaam,,2 September 2022,"What a brilliant, brilliant, execution.Only the first two episodes are out and this show exceeds any expectations I had going in. It's just as magical as the books and the movies but much, much, better. I always wished the universe of LOTR would have been more inclusive and now it is - and they made that happen without jeopardizing the original magic of it all which is a huge achievement.Ignore the negative reviews because this show is amazing and more than worth watching. The graphics and the videography and the storylines and everything are much more detailed and articulated which is something that the movies, for obvious reasons, could not accomplish. This series will surely do justice to Middle Earth and everyone who is linked to it. And I can't wait to see it all happen.",614,2865,The Lord of the Rings: The Rings of Power
I'm Feeling It So Far,koltonbrett,10,3 September 2022,"Though I've never done any of the reading, I'm a major Middle Earth fan. The original trilogy will forever be among my favorite movies. It's honestly so good to be back in Middle Earth again. Two episodes into this show and I'm really enjoying it so far. I'm going to have no problem watching the complete season. I love that the tone switches back and forth between dark and lighthearted, much like the original The Lord of the Rings trilogy. The different characters and locations are really interesting and I feel like I'm really diving into this world like never before. Visually, it's absolutely stunning to look at it. I heard it's the most expensive show ever made, and it definitely looks like it. I can see a trend already that these episodes are going to keep leaving us with multiple cliffhangers, just like the show Lost did, which I also love.I feel like as long as the show stays respectful of Tolkien and who he was, and considerate towards fans of the 6 other Middle Earth movies, then this could be something truly wonderful. It can give us the world building and epicness of Game of Thrones without all the explicit content. It's nice to have such a large scale fantasy show that I feel I can watch with my family.",590,2832,The Lord of the Rings: The Rings of Power
"Big budget production, and it shows",yooniverse,9,2 September 2022,"While it's not the same quality as the films, it is nevertheless a gorgeous production, and I found myself back in Middle Earth in short order.The casting is of course more ""diverse"", so that will need a little getting used to, but what isn't these days? At least Galadriel and Elrond weren't recast with BAME actors. I haven't found the diverse casting too obtrusive. Acting seems pretty decent, given that I don't recognize most of them.I'm no Tolkien scholar, but I think some liberties were taken with LOTR canon. Still, I thought things are off to a great start, and it appears the show might be worth the big budget. Looking forward to a long run!",618,2807,The Lord of the Rings: The Rings of Power
Beautiful; hopefully Tolkien's substance shines through,chaakar,5,2 September 2022,"So far so good. Is it a little bit empty along with some interesting casting choices? Yes. But are the characters interesting, with strong archetypal undertones and potential for plot growth, yes -- I think something that is going underappreciated here by a lot of viewers is the fact that I can watch this show with children; it has a lot more Mandalorian vibes than GoT, and I welcome this. We have noble characters, some strong lines, absolutely beautiful landscapes and CGI, and a younger audience can engage with this very meaningfully.I will not underestimate the fact that the source material here is Tolkien, and so far, things could probably have been better given the budget, but definitely nothing so far that is extremely off-putting to say in the least, so really rooting for the show to shine!As said above, I will not deny there is some mediocrity, but I cannot fathom why/how a massive 30% of all the ratings are 1 stars... does not seem genuine to me.",417,2658,The Lord of the Rings: The Rings of Power
Lives up to the hype.,s_sahar99,9,2 September 2022,"The music, the screenplay, the cinematography, the direction, the costume design, the editing all done very well. Much better than game of thrones by far. Personally, the characters of the show were detestable and respulsive. Most of the shows are terribly made in a smililar way. This is not one of them. The ambience, the intrigue draws you in. The landscape and scenery is beautiful. I have stopped watching shows because they are poorly made. I think the fact that a billion dollar was spent on this show, actually shows when you watch. I could go on and on. But that is sufficient for the novice and the expert.",438,2546,The Lord of the Rings: The Rings of Power
LOL at the bad reviews,wpnzvkgzb,10,2 September 2022,Don't listen to the negative reviews. Some people have an idea of what something should be in their own mind. I too have read mostly all of Tolkien's books. You form a world in your mind from those words. It's yours it's personal. This show is Magnificent. It's a big bold dive into Middle Earth. Beautifully filmed and acted. The first too episodes are structured in a way to set a scene for the multiple storylines for multiple characters which as the series progresses will merge in to one common fight against the darkness. It's absolutely fantastic and if you don't watch it because of someone's snobby 1/10 then you will be missing out.,494,2526,The Lord of the Rings: The Rings of Power
Promising Start and a New Take,jakeobnyc,9,2 September 2022,"Obviously nothing can live up to the expectations that original Lord of the Rings Trilogy gave us. There are a lot of ways that this show could completely fail under the shadow of the past iterations of this world, but the first two episodes are quite enjoyable. The show did not try to remake the Lord of the Rings that we know. There is still the magic and light humor of Middle Earth, the grand conflicts, moments of horror, and fantastic acting that we are accustomed to but it's unfair to compare it to films that have been idolized for two decades. This is a new IP, and a new take on Middle Earth, give it a chance.",415,2418,The Lord of the Rings: The Rings of Power
Nothing Short Of Epic,rodneymoore-17755,10,2 September 2022,"The first two episodes were definitely worth watching full Stunning Visuals, Strong Acting, Great Script kinda disappointed though wish there was more action,and more episodes to watch. I don't wanna wait😭, Great to watch with families kind of like a PG13 House Of Dragons, But oddly enough just as good, so many strong performances in this show, and i don't really care about what anyone has to say about Galadriel or the actress playing her, she was at the very least the second most interesting character right next to the two hobbit girls there's not too much I would want to see them change about the show that I haven't already mentioned. But I'm low key upset that I we didn't get to see Sauron yet thouh now that I think about it, it may be best to save him for a later episode. Anyone who is saying this show is woke is 🤥 cause it's not .I think Amazon Finally has winner on there hands, we'll see it's worth that billion dollars though.",353,2280,The Lord of the Rings: The Rings of Power
"A little slow, but picking up.",jared79,10,2 September 2022,"Like many I had my doubts about if they can pull this off. The first episode was fine, they introduced the main characters, but nothing major happened. The second episode was certainly better, a bit more excitement and a bit more humour once the dwarfs entered the story. I did my best to keep an open mind and so far I'm enjoining it. Maybe a little to heavy on the female as the heroine side, don't get me wrong, I don't mind women heroines, but sometimes I find they over correct in modern TV and movies. Sure a lot of stories were male driven in the past, but instead of relocating men to minor roles, just even it out. Elrond has a bigger part than I expected, so that's good. Anyway, so far it's been pretty good and the people score it low probably haven't even watched it.",394,2278,The Lord of the Rings: The Rings of Power
Better than expected,upthetoshy,8,2 September 2022,"The previews made this show look like cheap fan-fiction, but I'm happy to say this is not the case. Despite some obvious deviations from the canon, the show actually promises to be quite satisfying. I'm still finding it a bit difficult to countenance short-haired elves though. I've heard a lot of people complaining about the 'forced racial diversification' contradicting specific details given in the Silmarillion--a deviation I'm not finding myself having much trouble adjusting to--but elves of any color could have been given long hair (Tolkien was pretty clear about this detail). Anyhow, I've only just finished the first episode, so it could still go either way, but I'm excited to see how it pans out.",447,2219,The Lord of the Rings: The Rings of Power
Wow. Just wow.,forceouthate,10,2 September 2022,"Well, I can honestly say so far I am surprised. I went into this thinking it would be entertaining at the most and left shocked at how much I enjoyed it. The characters are well done and the dialogue feels very Tolkien-esk. Some of the characters that stood out to me were Elrond and Prince Durin. They are very intriguing and give this show the levity it so desperately needs. The main standout is the visuals. The most stunning show I've ever seen. And the music is fantastic too. Do yourself a favor, put your phone down or shut your computer off and go watch this on the biggest screen you can. Lord of the Rings is back. Let's celebrate that.",315,2145,The Lord of the Rings: The Rings of Power
Not bad,rocktimmanta,8,2 September 2022,"I will start by saying the first two episodes feel a bit slow, but it does pick up pace towards the end of the second episode. However, the world does feel grandiose and extravagant, which I was not expecting at all.I felt the inner childlike glee and awe that I felt while watching the original LOTR and the Hobbit series, and that in itself makes me excited for the upcoming episodes. I am especially pleased that this show is not the woke piece of garbage that people were saying it would be. Arondir and Princess Disa were very likable if you ask me!Woke is not the center of this story, unlike a certain green goblin lawyer show.If you are looking for honest advice on if you should watch it, don't listen to naysayers and give it a go.",477,2128,The Lord of the Rings: The Rings of Power
"Not Jackson, but that's OK",steve-butten,8,2 September 2022,"Two episodes in and first thoughts are that it's easy to see where the money was spent. I never expected a slavish adhesion to all that is Tolkien, nor did I expect much beyond the establishment of characters early on and that is pretty much it. I'm looking forward to seeing how it all works out and I am optimistic. My one carp is that Galadriel is portrayed very differently from how I expected her to be. I know she doesn't have a Ring of Power yet, but seeing her as a warrior rather than a witch/angel jarred somewhat. The depiction of the draft kingdom was particularly impressive and the New Zealand landscape served the stories well once again. It looks great and I shall stick with it. It'd be rude not too.",382,2054,The Lord of the Rings: The Rings of Power
